scenario_name,environment_type,selected_configuration,success,reconfiguration_time,number_of_steps,number_of_connection_changes,estimated_energy,collision_risk,stability_penalty,minimum_clearance,total_cost
"flat",FLAT,"WIDE_STABLE",1,0,0,0,0,0,0,999,0
"narrow_passage",NARROW_PASSAGE,"LINE",1,1.96052,20,5,34.1955,0.179487,0,0.165,6.51235
"rough_surface",ROUGH_SURFACE,"SNAKE",1,2.61169,20,5,36.7063,0,0,999,7.03945
"step",STEP,"CLIMB",1,2.15917,20,2,16.1091,0,0,999,3.36412
"gap",GAP,"BRIDGE",1,1.95622,20,5,32.8667,0,0,999,6.26687
"target_zone",TARGET_ZONE,"MANIPULATOR",1,2.86839,20,8,38.1115,0.923077,0,0.02,8.00801
"flat",FLAT,"WIDE_STABLE",1,0,0,0,0,0,0,999,0
"narrow_passage",NARROW_PASSAGE,"LINE",1,1.96052,20,5,34.1955,0.179487,0,0.165,6.51235
"rough_surface",ROUGH_SURFACE,"SNAKE",1,1.32007,20,0,9.38748,0,0,999,1.80414
"step",STEP,"CLIMB",1,3.13471,20,3,38.5818,0,0,999,7.17768
"gap",GAP,"BRIDGE",1,2.85423,20,3,37.5755,0,0,999,6.9426
"target_zone",TARGET_ZONE,"MANIPULATOR",1,2.5761,20,5,35.9124,0.923077,0,0.02,7.14046
"flat",FLAT,"WIDE_STABLE",1,0,0,0,0,0,0,999,0
"narrow_passage",NARROW_PASSAGE,"LINE",1,1.96052,20,5,34.1955,0.179487,0,0.165,6.51235
"rough_surface",ROUGH_SURFACE,"SNAKE",1,1.32007,20,0,9.38748,0,0,999,1.80414
"step",STEP,"CLIMB",1,3.13471,20,3,38.5818,0,0,999,7.17768
"gap",GAP,"BRIDGE",1,2.85423,20,3,37.5755,0,0,999,6.9426
"target_zone",TARGET_ZONE,"MANIPULATOR",1,2.5761,20,5,35.9124,0.923077,0,0.02,7.14046
"flat",FLAT,"WIDE_STABLE",1,0,0,0,0,0,0,999,0
"narrow_passage",NARROW_PASSAGE,"LINE",1,1.96052,20,5,34.1955,0.179487,0,0.165,6.51235
"rough_surface",ROUGH_SURFACE,"SNAKE",1,1.32007,20,0,9.38748,0,0,999,1.80414
"step",STEP,"CLIMB",1,3.13471,20,3,38.5818,0,0,999,7.17768
"gap",GAP,"BRIDGE",1,2.85423,20,3,37.5755,0,0,999,6.9426
"target_zone",TARGET_ZONE,"MANIPULATOR",1,2.5761,20,5,35.9124,0.923077,0,0.02,7.14046
